Datetime,时间_小时,时间_时段,光伏出力_kW,负荷消耗_kW,实时电价_元/kWh
2026-02-14 17:37:00,1.7333,101,0,157.15,0.404
2026-02-14 17:38:00,1.75,102,0,157.94,0.425
2026-02-14 17:39:00,1.7667,103,1.62,138.52,0.41
2026-02-14 17:40:00,1.7833,104,0,141.62,0.427
2026-02-14 17:41:00,1.8,105,4.89,162.89,0.42
2026-02-14 17:42:00,1.8167,106,4.72,163.98,0.423
2026-02-14 17:43:00,1.8333,107,0,143.74,0.429
2026-02-14 17:44:00,1.85,108,0,156.44,0.417
2026-02-14 17:45:00,1.8667,109,0,142.71,0.429
2026-02-14 17:46:00,1.8833,110,0,156.11,0.414
2026-02-14 17:47:00,1.9,111,0.55,157.06,0.413
2026-02-14 17:48:00,1.9167,112,0,165.01,0.425
2026-02-14 17:49:00,1.9333,113,5.29,153.16,0.422
2026-02-14 17:50:00,1.95,114,0,163.41,0.422
2026-02-14 17:51:00,1.9667,115,3.22,154.37,0.431
2026-02-14 17:52:00,1.9833,116,0,154.84,0.413
2026-02-14 17:53:00,2,117,5.84,159.22,0.417
2026-02-14 17:54:00,2.0167,118,4.45,156.02,0.439
2026-02-14 17:55:00,2.0333,119,2.79,160.37,0.433
2026-02-14 17:56:00,2.05,120,3.81,152.49,0.433
2026-02-14 17:57:00,2.0667,121,4.23,163.25,0.431
2026-02-14 17:58:00,2.0833,122,0.01,163.31,0.418
2026-02-14 17:59:00,2.1,123,1.28,173.51,0.442
2026-02-14 18:00:00,2.1167,124,2.53,153.15,0.418
2026-02-14 18:01:00,2.1333,125,5.69,163.41,0.417
2026-02-14 18:02:00,2.15,126,0.75,175.31,0.442
2026-02-14 18:03:00,2.1667,127,4.65,171.45,0.414
2026-02-14 18:04:00,2.1833,128,0,161.69,0.44
2026-02-14 18:05:00,2.2,129,0,161.93,0.438
2026-02-14 18:06:00,2.2167,130,0.42,158.04,0.425
2026-02-14 18:07:00,2.2333,131,2.05,158.85,0.427
2026-02-14 18:08:00,2.25,132,4.26,167.47,0.422
2026-02-14 18:09:00,2.2667,133,1.55,158.35,0.444
2026-02-14 18:10:00,2.2833,134,0,172.68,0.443
2026-02-14 18:11:00,2.3,135,2.83,176.38,0.446
2026-02-14 18:12:00,2.3167,136,0,165.15,0.435
2026-02-14 18:13:00,2.3333,137,0,173.14,0.417
2026-02-14 18:14:00,2.35,138,0,172.08,0.425
2026-02-14 18:15:00,2.3667,139,0,178.8,0.418
2026-02-14 18:16:00,2.3833,140,0,179.2,0.441
2026-02-14 18:17:00,2.4,141,0,187.15,0.43
2026-02-14 18:18:00,2.4167,142,0,172.57,0.429
2026-02-14 18:19:00,2.4333,143,2.05,190.69,0.426
2026-02-14 18:20:00,2.45,144,0,177.48,0.444
2026-02-14 18:21:00,2.4667,145,0.9,183.45,0.442
2026-02-14 18:22:00,2.4833,146,3.9,197.63,0.425
2026-02-14 18:23:00,2.5,147,0,194.04,0.447
2026-02-14 18:24:00,2.5167,148,5.48,178.8,0.441
2026-02-14 18:25:00,2.5333,149,0,184.97,0.443
2026-02-14 18:26:00,2.55,150,0,174.46,0.444
2026-02-14 18:27:00,2.5667,151,0,186.9,0.447
2026-02-14 18:28:00,2.5833,152,0,188.4,0.435
2026-02-14 18:29:00,2.6,153,0,172.84,0.426
2026-02-14 18:30:00,2.6167,154,4.16,185.42,0.426
2026-02-14 18:31:00,2.6333,155,1.95,181.07,0.439
2026-02-14 18:32:00,2.65,156,0,178.44,0.425
2026-02-14 18:33:00,2.6667,157,1.23,172.49,0.454
2026-02-14 18:34:00,2.6833,158,0,171.99,0.442
2026-02-14 18:35:00,2.7,159,2.91,175.33,0.426
2026-02-14 18:36:00,2.7167,160,5.13,159.79,0.434
2026-02-14 18:37:00,2.7333,161,0,167.06,0.433
2026-02-14 18:38:00,2.75,162,0,154.73,0.452
2026-02-14 18:39:00,2.7667,163,0,156.17,0.44
2026-02-14 18:40:00,2.7833,164,3.07,158.55,0.417
2026-02-14 18:41:00,2.8,165,2.48,161.41,0.447
2026-02-14 18:42:00,2.8167,166,1.98,163.63,0.422
2026-02-14 18:43:00,2.8333,167,5.56,160.83,0.41
2026-02-14 18:44:00,2.85,168,1.52,178.13,0.418
2026-02-14 18:45:00,2.8667,169,0,162.41,0.432
2026-02-14 18:46:00,2.8833,170,0,174.66,0.429
2026-02-14 18:47:00,2.9,171,0,158.19,0.4
2026-02-14 18:48:00,2.9167,172,0,164.5,0.419
2026-02-14 18:49:00,2.9333,173,4.11,167.39,0.425
2026-02-14 18:50:00,2.95,174,3.48,165.31,0.418
2026-02-14 18:51:00,2.9667,175,0.71,160.44,0.4
2026-02-14 18:52:00,2.9833,176,0,157.79,0.39
2026-02-14 18:53:00,3,177,0,157.56,0.419
2026-02-14 18:54:00,3.0167,178,5.17,180.04,0.414
2026-02-14 18:55:00,3.0333,179,1.32,170.57,0.404
2026-02-14 18:56:00,3.05,180,1.61,161.36,0.423
2026-02-14 18:57:00,3.0667,181,2.82,168.67,0.397
2026-02-14 18:58:00,3.0833,182,5.32,172.37,0.425
2026-02-14 18:59:00,3.1,183,4.08,162.38,0.424
2026-02-14 19:00:00,3.1167,184,0,161.55,0.419
2026-02-14 19:01:00,3.1333,185,0,157.37,0.41
2026-02-14 19:02:00,3.15,186,1.46,164.11,0.403
2026-02-14 19:03:00,3.1667,187,0,172.43,0.425
2026-02-14 19:04:00,3.1833,188,5.2,163.04,0.412
2026-02-14 19:05:00,3.2,189,5.81,157.82,0.407
2026-02-14 19:06:00,3.2167,190,4.62,170.49,0.426
2026-02-14 19:07:00,3.2333,191,0,166.02,0.422
2026-02-14 19:08:00,3.25,192,5.99,169.97,0.429
2026-02-14 19:09:00,3.2667,193,4.84,164.26,0.398
2026-02-14 19:10:00,3.2833,194,1.55,167.26,0.413
2026-02-14 19:11:00,3.3,195,2.7,166.61,0.399
2026-02-14 19:12:00,3.3167,196,0,166.26,0.419
2026-02-14 19:13:00,3.3333,197,0,159.99,0.401
2026-02-14 19:14:00,3.35,198,0,153.57,0.428
2026-02-14 19:15:00,3.3667,199,3.36,159.28,0.426
2026-02-14 19:16:00,3.3833,200,0,163.36,0.411
2026-02-14 19:17:00,3.4,201,0,161.02,0.406
2026-02-14 19:18:00,3.4167,202,0,143.13,0.432
2026-02-14 19:19:00,3.4333,203,0,150.36,0.412
2026-02-14 19:20:00,3.45,204,0,136.65,0.428
2026-02-14 19:21:00,3.4667,205,0,148.56,0.423
2026-02-14 19:22:00,3.4833,206,0,146.91,0.43
2026-02-14 19:23:00,3.5,207,4.52,145.84,0.429
2026-02-14 19:24:00,3.5167,208,0,132.42,0.413
2026-02-14 19:25:00,3.5333,209,0.72,144.14,0.441
2026-02-14 19:26:00,3.55,210,0,147.75,0.414
2026-02-14 19:27:00,3.5667,211,0,140.94,0.431
2026-02-14 19:28:00,3.5833,212,0,143.92,0.438
2026-02-14 19:29:00,3.6,213,0,152.5,0.44
2026-02-14 19:30:00,3.6167,214,0,162.56,0.44
2026-02-14 19:31:00,3.6333,215,0,160.97,0.427
2026-02-14 19:32:00,3.65,216,0,168.76,0.42
2026-02-14 19:33:00,3.6667,217,0,166.73,0.433
2026-02-14 19:34:00,3.6833,218,3.17,161.96,0.431
2026-02-14 19:35:00,3.7,219,5.7,167.99,0.424
2026-02-14 19:36:00,3.7167,220,0,176.24,0.434
2026-02-14 19:37:00,3.7333,221,3.77,159.2,0.412
2026-02-14 19:38:00,3.75,222,5.71,170.77,0.432
2026-02-14 19:39:00,3.7667,223,0,160,0.417
2026-02-14 19:40:00,3.7833,224,0,158.95,0.415
2026-02-14 19:41:00,3.8,225,4.59,170.99,0.414
2026-02-14 19:42:00,3.8167,226,0,168.68,0.428
2026-02-14 19:43:00,3.8333,227,0,172.34,0.42
2026-02-14 19:44:00,3.85,228,0,173.52,0.437
2026-02-14 19:45:00,3.8667,229,0,176.89,0.431
2026-02-14 19:46:00,3.8833,230,0,177.67,0.42
2026-02-14 19:47:00,3.9,231,0,164.73,0.412
2026-02-14 19:48:00,3.9167,232,0,159.61,0.42
2026-02-14 19:49:00,3.9333,233,0,168.04,0.418
2026-02-14 19:50:00,3.95,234,0,162.8,0.415
2026-02-14 19:51:00,3.9667,235,0,165.39,0.431
2026-02-14 19:52:00,3.9833,236,5.19,179.83,0.443
2026-02-14 19:53:00,4,237,0,167.88,0.412
2026-02-14 19:54:00,4.0167,238,0,172.12,0.419
2026-02-14 19:55:00,4.0333,239,3.58,163.73,0.42
2026-02-14 19:56:00,4.05,240,2.59,169.75,0.422
2026-02-14 19:57:00,4.0667,241,4.27,177.31,0.424
2026-02-14 19:58:00,4.0833,242,0,178.5,0.445
2026-02-14 19:59:00,4.1,243,3.56,186.67,0.437
2026-02-14 20:00:00,4.1167,244,0,195.12,0.453
2026-02-14 20:01:00,4.1333,245,1.38,198.96,0.452
2026-02-14 20:02:00,4.15,246,0,181.59,0.472
2026-02-14 20:03:00,4.1667,247,2.24,187.12,0.471
2026-02-14 20:04:00,4.1833,248,0,185.31,0.449
2026-02-14 20:05:00,4.2,249,0,195.52,0.469
2026-02-14 20:06:00,4.2167,250,3.8,197.87,0.484
2026-02-14 20:07:00,4.2333,251,0,192.34,0.481
2026-02-14 20:08:00,4.25,252,0,215.27,0.48
2026-02-14 20:09:00,4.2667,253,5.95,208.09,0.47
2026-02-14 20:10:00,4.2833,254,0,206.05,0.479
2026-02-14 20:11:00,4.3,255,2.79,208.3,0.457
2026-02-14 20:12:00,4.3167,256,3.64,205.14,0.465
2026-02-14 20:13:00,4.3333,257,5.02,182.38,0.465
2026-02-14 20:14:00,4.35,258,0,202.4,0.461
2026-02-14 20:15:00,4.3667,259,0,186.12,0.436
2026-02-14 20:16:00,4.3833,260,3.63,175.72,0.437
2026-02-14 20:17:00,4.4,261,0,180.75,0.43
2026-02-14 20:18:00,4.4167,262,0,179.26,0.441
2026-02-14 20:19:00,4.4333,263,2.66,186.56,0.429
2026-02-14 20:20:00,4.45,264,0,186.94,0.431
2026-02-14 20:21:00,4.4667,265,0,176.78,0.422
2026-02-14 20:22:00,4.4833,266,0,179.71,0.422
2026-02-14 20:23:00,4.5,267,4.76,164.58,0.413
2026-02-14 20:24:00,4.5167,268,0,160.96,0.43
2026-02-14 20:25:00,4.5333,269,0,172.49,0.431
2026-02-14 20:26:00,4.55,270,0,168.04,0.438
2026-02-14 20:27:00,4.5667,271,0.37,163.11,0.446
2026-02-14 20:28:00,4.5833,272,2.4,166.39,0.448
2026-02-14 20:29:00,4.6,273,4.09,182.88,0.448
2026-02-14 20:30:00,4.6167,274,1.85,180.76,0.427
2026-02-14 20:31:00,4.6333,275,1.9,168.07,0.418
2026-02-14 20:32:00,4.65,276,0,178.92,0.421
2026-02-14 20:33:00,4.6667,277,0,172.65,0.444
2026-02-14 20:34:00,4.6833,278,0,167.41,0.438
2026-02-14 20:35:00,4.7,279,0,188.41,0.429
2026-02-14 20:36:00,4.7167,280,0,186.07,0.455
2026-02-14 20:37:00,4.7333,281,0,180,0.45
2026-02-14 20:38:00,4.75,282,2.56,177.97,0.451
2026-02-14 20:39:00,4.7667,283,5.45,183.6,0.449
2026-02-14 20:40:00,4.7833,284,0,182.77,0.439
2026-02-14 20:41:00,4.8,285,0,169.76,0.429
2026-02-14 20:42:00,4.8167,286,0.62,171.15,0.438
2026-02-14 20:43:00,4.8333,287,0.68,173.19,0.452
2026-02-14 20:44:00,4.85,288,3.73,189.85,0.437
2026-02-14 20:45:00,4.8667,289,0,172.99,0.449
2026-02-14 20:46:00,4.8833,290,2.44,176.94,0.43
2026-02-14 20:47:00,4.9,291,4.63,170.96,0.437
2026-02-14 20:48:00,4.9167,292,5.83,170.53,0.444
2026-02-14 20:49:00,4.9333,293,3.53,172.37,0.439
2026-02-14 20:50:00,4.95,294,0,183.55,0.453
2026-02-14 20:51:00,4.9667,295,5.48,169.74,0.436
2026-02-14 20:52:00,4.9833,296,0.01,183.29,0.419
2026-02-14 20:53:00,5,297,0,174.22,0.434
2026-02-14 20:54:00,5.0167,298,0,171.97,0.422
2026-02-14 20:55:00,5.0333,299,0,172.97,0.444
2026-02-14 20:56:00,5.05,300,0.11,173.03,0.434
2026-02-14 20:57:00,5.0667,301,0,170.3,0.442
2026-02-14 20:58:00,5.0833,302,0,184.29,0.421
2026-02-14 20:59:00,5.1,303,0,185,0.441
2026-02-14 21:00:00,5.1167,304,5.44,182.8,0.423
2026-02-14 21:01:00,5.1333,305,0,182.46,0.445
2026-02-14 21:02:00,5.15,306,4.19,165.67,0.439
2026-02-14 21:03:00,5.1667,307,0.34,180.08,0.446
2026-02-14 21:04:00,5.1833,308,0,166.88,0.44
2026-02-14 21:05:00,5.2,309,0.53,169.17,0.449
2026-02-14 21:06:00,5.2167,310,0,177.81,0.422
2026-02-14 21:07:00,5.2333,311,3.29,177.41,0.417
2026-02-14 21:08:00,5.25,312,1.15,168.81,0.442
2026-02-14 21:09:00,5.2667,313,5.46,170.6,0.444
2026-02-14 21:10:00,5.2833,314,5.9,175.16,0.418
2026-02-14 21:11:00,5.3,315,3.72,179.35,0.423
2026-02-14 21:12:00,5.3167,316,5.85,187.23,0.433
2026-02-14 21:13:00,5.3333,317,0,172.33,0.427
2026-02-14 21:14:00,5.35,318,0,178.92,0.439
2026-02-14 21:15:00,5.3667,319,1.69,193.25,0.429
2026-02-14 21:16:00,5.3833,320,2.61,181.3,0.429
2026-02-14 21:17:00,5.4,321,0,181.67,0.44
2026-02-14 21:18:00,5.4167,322,4.74,201.16,0.432
2026-02-14 21:19:00,5.4333,323,0,204.56,0.406
2026-02-14 21:20:00,5.45,324,2.09,203.28,0.436
2026-02-14 21:21:00,5.4667,325,0,194.77,0.41
2026-02-14 21:22:00,5.4833,326,2.94,200.8,0.435
2026-02-14 21:23:00,5.5,327,0,208.64,0.407
2026-02-14 21:24:00,5.5167,328,0,213.02,0.419
2026-02-14 21:25:00,5.5333,329,3.21,212.31,0.433
2026-02-14 21:26:00,5.55,330,3.99,215.65,0.436
2026-02-14 21:27:00,5.5667,331,0,207.71,0.416
2026-02-14 21:28:00,5.5833,332,0,210.21,0.419
2026-02-14 21:29:00,5.6,333,0,195.78,0.438
2026-02-14 21:30:00,5.6167,334,0,201.16,0.438
2026-02-14 21:31:00,5.6333,335,1.45,209.21,0.422
2026-02-14 21:32:00,5.65,336,0,197.99,0.436
2026-02-14 21:33:00,5.6667,337,0,205.87,0.446
2026-02-14 21:34:00,5.6833,338,1.42,200.87,0.441
2026-02-14 21:35:00,5.7,339,3.31,202.76,0.418
2026-02-14 21:36:00,5.7167,340,3.71,214.29,0.432
2026-02-14 21:37:00,5.7333,341,5.53,203.81,0.447
2026-02-14 21:38:00,5.75,342,5.04,198.62,0.45
2026-02-14 21:39:00,5.7667,343,9.37,205.2,0.445
2026-02-14 21:40:00,5.7833,344,18.29,221.48,0.429
2026-02-14 21:41:00,5.8,345,25.53,218.86,0.444
2026-02-14 21:42:00,5.8167,346,39.33,213.11,0.433
2026-02-14 21:43:00,5.8333,347,52.13,205.94,0.444
2026-02-14 21:44:00,5.85,348,70.43,213.43,0.434
2026-02-14 21:45:00,5.8667,349,77.69,208.08,0.423
2026-02-14 21:46:00,5.8833,350,92.36,227.36,0.418
2026-02-14 21:47:00,5.9,351,98.97,211.86,0.439
2026-02-14 21:48:00,5.9167,352,112.15,219.08,0.436
2026-02-14 21:49:00,5.9333,353,117.43,217.42,0.421
2026-02-14 21:50:00,5.95,354,128.17,207.98,0.428
2026-02-14 21:51:00,5.9667,355,141.98,231.82,0.411
2026-02-14 21:52:00,5.9833,356,149.85,223,0.411
2026-02-14 21:53:00,6,357,166.35,228.1,0.407
2026-02-14 21:54:00,6.0167,358,156.14,220.4,0.404
2026-02-14 21:55:00,6.0333,359,147.59,222.49,0.433
2026-02-14 21:56:00,6.05,360,148.52,229.22,0.401
2026-02-14 21:57:00,6.0667,361,144.13,210.17,0.431
2026-02-14 21:58:00,6.0833,362,150.79,207.25,0.435
2026-02-14 21:59:00,6.1,363,155.9,207.88,0.409
2026-02-14 22:00:00,6.1167,364,171.97,208.29,0.431
2026-02-14 22:01:00,6.1333,365,175.69,205.75,0.421
2026-02-14 22:02:00,6.15,366,176.56,216.19,0.427
2026-02-14 22:03:00,6.1667,367,183.67,223.98,0.407
2026-02-14 22:04:00,6.1833,368,188.1,212.15,0.414
2026-02-14 22:05:00,6.2,369,183.61,215.56,0.426
2026-02-14 22:06:00,6.2167,370,188.66,200.29,0.409
2026-02-14 22:07:00,6.2333,371,188.82,215.17,0.416
2026-02-14 22:08:00,6.25,372,194.15,212.21,0.438
2026-02-14 22:09:00,6.2667,373,190.38,208.93,0.414
2026-02-14 22:10:00,6.2833,374,186.27,221.18,0.441
2026-02-14 22:11:00,6.3,375,179.35,230.94,0.431
2026-02-14 22:12:00,6.3167,376,172.22,219.69,0.418
2026-02-14 22:13:00,6.3333,377,160.44,222.86,0.409
2026-02-14 22:14:00,6.35,378,160.72,227.79,0.424
2026-02-14 22:15:00,6.3667,379,165.77,238.94,0.432
2026-02-14 22:16:00,6.3833,380,174.31,249.41,0.411
2026-02-14 22:17:00,6.4,381,187.32,237.26,0.436
2026-02-14 22:18:00,6.4167,382,199.27,244.89,0.41
2026-02-14 22:19:00,6.4333,383,196.93,260.16,0.413
2026-02-14 22:20:00,6.45,384,189.83,260.71,0.429
2026-02-14 22:21:00,6.4667,385,190.92,256.69,0.41
2026-02-14 22:22:00,6.4833,386,198.93,261.76,0.432
2026-02-14 22:23:00,6.5,387,201.98,277.58,0.403
2026-02-14 22:24:00,6.5167,388,201.04,273.19,0.405
2026-02-14 22:25:00,6.5333,389,206.87,272.41,0.438
2026-02-14 22:26:00,6.55,390,204.67,267.56,0.413
2026-02-14 22:27:00,6.5667,391,193.4,254.94,0.415
2026-02-14 22:28:00,6.5833,392,188.56,266.64,0.423
2026-02-14 22:29:00,6.6,393,179.11,246.87,0.423
2026-02-14 22:30:00,6.6167,394,177.78,246.17,0.424
2026-02-14 22:31:00,6.6333,395,184.5,240.34,0.419
2026-02-14 22:32:00,6.65,396,193.72,258.24,0.423
2026-02-14 22:33:00,6.6667,397,203.64,235.81,0.441
2026-02-14 22:34:00,6.6833,398,209.41,238.55,0.445
2026-02-14 22:35:00,6.7,399,224.43,236.26,0.44
2026-02-14 22:36:00,6.7167,400,233.25,251.26,0.437
2026-02-14 22:37:00,6.7333,401,230.01,234.76,0.426
2026-02-14 22:38:00,6.75,402,227.49,240.13,0.424
2026-02-14 22:39:00,6.7667,403,229.56,229.91,0.434
2026-02-14 22:40:00,6.7833,404,234.36,239.92,0.44
2026-02-14 22:41:00,6.8,405,239.37,251.67,0.428
2026-02-14 22:42:00,6.8167,406,236.45,260.76,0.441
2026-02-14 22:43:00,6.8333,407,231.41,249.68,0.428
2026-02-14 22:44:00,6.85,408,224.01,264.04,0.456
2026-02-14 22:45:00,6.8667,409,219.69,278.73,0.445
2026-02-14 22:46:00,6.8833,410,205.39,265.75,0.454
2026-02-14 22:47:00,6.9,411,198.89,267.9,0.447
2026-02-14 22:48:00,6.9167,412,198.02,286.98,0.452
2026-02-14 22:49:00,6.9333,413,210.13,292.76,0.435
2026-02-14 22:50:00,6.95,414,215.6,299.49,0.465
2026-02-14 22:51:00,6.9667,415,233.93,284.37,0.442
2026-02-14 22:52:00,6.9833,416,239.63,295.59,0.453
2026-02-14 22:53:00,7,417,243.81,294.09,0.455
2026-02-14 22:54:00,7.0167,418,248.59,299.62,0.455
2026-02-14 22:55:00,7.0333,419,243.91,310.65,0.469
2026-02-14 22:56:00,7.05,420,240.28,319.97,0.434
2026-02-14 22:57:00,7.0667,421,251.34,329.1,0.462
2026-02-14 22:58:00,7.0833,422,255.26,317.58,0.431
2026-02-14 22:59:00,7.1,423,246.2,331.1,0.43
2026-02-14 23:00:00,7.1167,424,249.84,342.22,0.453
2026-02-14 23:01:00,7.1333,425,240.1,347.94,0.43
2026-02-14 23:02:00,7.15,426,235.74,347.85,0.446
2026-02-14 23:03:00,7.1667,427,222.25,362.73,0.409
2026-02-14 23:04:00,7.1833,428,225.38,359.28,0.414
2026-02-14 23:05:00,7.2,429,224.03,361.35,0.434
2026-02-14 23:06:00,7.2167,430,229.5,372.1,0.428
2026-02-14 23:07:00,7.2333,431,238.74,379.07,0.421
2026-02-14 23:08:00,7.25,432,251.76,373.29,0.404
2026-02-14 23:09:00,7.2667,433,268.04,367.03,0.427
2026-02-14 23:10:00,7.2833,434,270.22,369.61,0.395
2026-02-14 23:11:00,7.3,435,270.78,376.4,0.426
2026-02-14 23:12:00,7.3167,436,274.51,359.32,0.41
2026-02-14 23:13:00,7.3333,437,273.25,357.29,0.423
2026-02-14 23:14:00,7.35,438,274.75,352.46,0.437
2026-02-14 23:15:00,7.3667,439,273.68,363.13,0.439
2026-02-14 23:16:00,7.3833,440,278.53,340.43,0.412
2026-02-14 23:17:00,7.4,441,271.71,349.36,0.431
2026-02-14 23:18:00,7.4167,442,268.29,352.1,0.441
2026-02-14 23:19:00,7.4333,443,250.35,344.3,0.445
2026-02-14 23:20:00,7.45,444,247.65,347.4,0.439
2026-02-14 23:21:00,7.4667,445,234.22,331.41,0.422
2026-02-14 23:22:00,7.4833,446,237.89,330.33,0.448
2026-02-14 23:23:00,7.5,447,242.51,319.44,0.448
2026-02-14 23:24:00,7.5167,448,254.78,337.34,0.422
2026-02-14 23:25:00,7.5333,449,279.28,331.06,0.421
2026-02-14 23:26:00,7.55,450,293.86,347.75,0.432
2026-02-14 23:27:00,7.5667,451,302.95,346.85,0.425
